Country,Number of Shipments Refused ,Frequency of Most Common Refusal,Total Vaue of Imports (in $ Billions)
India ,1763,256,1.2
Mexico ,1480,385,9.8
China ,1368,287,3.8
Dominican Rep ,828,789,0.3
Denmark ,543,85,0.4
Vietnam ,553,118,1.1
Japan ,508,143,0.5
Italy ,482,138,2.9
Indonesia ,460,122,1.5
